X,Y,OBJECTID,CASE_ID,ACCIDENT_YEAR,COLLISION_DATE,COLLISION_TIME,DAY_OF_WEEK,PRIMARY_RD,SECONDARY_RD,DIRECTION,INTERSECTION,STATE_HWY_IND,STATE_ROUTE,RAMP_INTERSECTION,COLLISION_SEVERITY,NUMBER_KILLED,NUMBER_INJURED,COUNT_SEVERE_INJ,COUNT_VISIBLE_INJ,COUNT_COMPLAINT_PAIN,COUNT_PED_KILLED,COUNT_PED_INJURED,COUNT_BICYCLIST_KILLED,COUNT_BICYCLIST_INJURED,COUNT_MC_KILLED,COUNT_MC_INJURED,COUNTY,CITY_TIMS,POINT_X,POINT_Y,CRASH_TYPE,YEAR
-118.184121229458,34.4935163649453,17442,90033439,2015,2015/10/06 00:00:00+00,1715,2,SIERRA HWY,HACIENDA RD,S,N,N,14, ,2,0,1,1,0,0,0,0,0,0,0,1,LOS ANGELES,UNINCORPORATED,-118.18422223,34.493136,AUTO-AUTO,2022
-118.368035871671,34.2216489854171,17443,90034237,2015,2015/10/01 00:00:00+00,2055,4,I-5 S/B (GOLDEN STATE FWY.) TO SUNLAND,SUNLAND BLVD.,N,N,Y,5, ,2,0,1,1,0,0,0,1,0,0,0,0,LOS ANGELES,LOS ANGELES,-118.3677,34.22113,AUTO-PEDESTRIAN,2022
-118.079705535102,33.9176036737451,17444,90043459,2015,2015/09/29 00:00:00+00,0009,2,I-5 N/B FROM IMPERIAL HIGHWAY,IMPERIAL HIGHWAY,N,N,Y, , ,2,0,1,1,0,0,0,1,0,0,0,0,LOS ANGELES,UNINCORPORATED,-118.07976316,33.91713736,AUTO-PEDESTRIAN,2022
-118.113562023476,34.5059623272946,17445,90784963,2018,2018/07/30 00:00:00+00,2050,1,SIERRA HWY,ANGELES FOREST HWY,S,N,N,14, ,2,0,3,1,0,2,0,0,0,0,0,0,LOS ANGELES,UNINCORPORATED,-118.11416626,34.50611877,AUTO-AUTO,2022
-118.155189389434,34.1379066607281,17446,90089680,2015,2015/12/31 00:00:00+00,1857,4,I-710 S/B,CALIFORNIA BLVD.,N,N,Y,710, ,1,1,2,0,1,1,0,0,0,0,0,0,LOS ANGELES,PASADENA,-118.15517721,34.13790179,AUTO-AUTO,2022
-118.149444478706,34.0297048897201,17447,90098403,2015,2015/12/14 00:00:00+00,1715,1,BEVERLY BLVD W/B (5300 BLK),MARGARET AVE, ,Y,N, , ,2,0,1,1,0,0,0,1,0,0,0,0,LOS ANGELES,UNINCORPORATED,-118.14951008,34.02962003,AUTO-PEDESTRIAN,2022
-118.300331366688,33.9385897699104,17448,90099549,2015,2015/12/25 00:00:00+00,0640,5,NORMADIE AVE,108TH ST  E,N,N,N, , ,2,0,3,3,0,0,0,0,0,0,0,0,LOS ANGELES,UNINCORPORATED,-118.30029,33.9390686,AUTO-AUTO,2022
-118.046452952435,33.9418528632993,17449,90101427,2016,2016/01/17 00:00:00+00,1750,7,CARMENITA RD NB,LANETT AVE,N,N,N, , ,2,0,1,1,0,0,0,1,0,0,0,0,LOS ANGELES,UNINCORPORATED,-118.04658,33.94180226,AUTO-PEDESTRIAN,2022
-118.155765951506,34.1419938863191,17450,90110905,2016,2016/01/16 00:00:00+00,0755,6,I-710 S/B (LONG BEACH FREEWAY),DEL MAR BLVD.,N,N,Y,710, ,2,0,1,1,0,0,0,0,0,0,0,0,LOS ANGELES,PASADENA,-118.15522842,34.14221961,AUTO-AUTO,2022
-118.155777663627,34.141990117439,17451,90960651,2019,2019/03/25 00:00:00+00,0835,1,SR-710 S/B (LONG BEACH FREEWAY),DEL MAR AVE,N,N,Y,710, ,2,0,1,1,0,0,0,0,0,0,0,0,LOS ANGELES,PASADENA,-118.15522003,34.14178848,AUTO-AUTO,2022
